id,slug,case_id,authority_id,subject_id,jurisdiction,region_group,action_type,procedural_status,action_date,action_year,publication_date,effective_date,legal_basis,amount_value,amount_currency,official_source_urls
action:de:hmbbfdi:2025-09-30-credit,hmbbfdi-kreditkarten-bussgeld-2025,case:de:hmbbfdi-credit-2025,authority:de:hmbbfdi,subject:finance:hamburg-unnamed,DE,DE,administrative_fine,final,2025-09-30,,2025-09-30,,GDPR,492000,EUR,https://datenschutz-hamburg.de/news/zwischenbilanz-2025-hmbbfdi-verhaengt-bussgelder-von-insgesamt-775000-euro
action:de:baylda:2024-12-19-worldcoin,baylda-worldcoin-loeschanordnung-2024,case:de:baylda-worldcoin,authority:de:baylda,subject:worldcoin,DE,DE,corrective_order,final_under_appeal,2024-12-19,,2024-12-19,,GDPR,,,https://www.lda.bayern.de/media/pm/pm2024_08.pdf|https://www.lda.bayern.de/media/baylda_report_14.pdf
action:de:blnbdi:2024-face-recognition-warning,blnbdi-fernidentifizierung-hinweis-2024,case:de:blnbdi-face-recognition,authority:de:blnbdi,subject:berlin-prosecution,DE,DE,official_warning,published,,2024,2025-05-26,,GDPR|German data-protection law,,,https://www.datenschutz-berlin.de/jahresbericht-2024|https://www.datenschutz-berlin.de/pressemitteilung/berliner-datenschutzbeauftragte-stellt-jahresbericht-2024-vor/
action:de:blnbdi:2024-ai-training-fine,blnbdi-ki-training-bussgeld-2024,case:de:blnbdi-ai-training,authority:de:blnbdi,subject:berlin-ai-training,DE,DE,administrative_fine,published,,2024,2025-05-26,,GDPR,60000,EUR,https://www.datenschutz-berlin.de/jahresbericht-2024|https://www.datenschutz-berlin.de/pressemitteilung/berliner-datenschutzbeauftragte-stellt-jahresbericht-2024-vor/
action:de:bka:2024-amazon-investigation,bundeskartellamt-amazon-preissteuerung-untersuchung,case:de:bka-amazon-price-control,authority:de:bundeskartellamt,subject:amazon,DE,DE,investigation,open,2024-09-02,,2024-09-02,,GWB,,,https://www.bundeskartellamt.de/DE/DigitalWirtschaft/VerfahrenGegenGrosseDigitalkonzerne/Amazon/Amazon_node.html
action:it:garante:2024-openai-chatgpt,garante-openai-chatgpt-sanktion-2024,case:it:garante-openai-chatgpt,authority:it:garante,subject:openai,IT,EU,fine_and_corrective_order,judgment_recorded,2024-11-02,,2024-12-20,,GDPR,15000000,EUR,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10085432
action:it:garante:2025-luka-replika,garante-luka-replika-sanktion-2025,case:it:garante-luka-replika,authority:it:garante,subject:luka,IT,EU,fine_order_and_investigation,final_under_appeal,2025-05-19,,2025-05-19,,GDPR,5000000,EUR,https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/10132048|https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10130115
action:eu:commission:2025-x-investigatory-measures,eu-kommission-x-ermittlungsmassnahmen-2025,case:eu:commission-x-recommender,authority:eu:commission,subject:x,EU,EU,investigatory_measures,open,2025-01-17,,2025-01-17,,DSA,,,https://digital-strategy.ec.europa.eu/en/news/commission-addresses-additional-investigatory-measures-x-ongoing-proceedings-under-digital-services
action:eu:commission:2026-x-grok-investigation,eu-kommission-x-grok-untersuchung-2026,case:eu:commission-x-recommender,authority:eu:commission,subject:x,EU,EU,investigation,open,2026-01-26,,2026-01-26,,DSA,,,https://digital-strategy.ec.europa.eu/en/news/commission-investigates-grok-and-xs-recommender-systems-under-digital-services-act
action:nl:ap:2024-clearview,niederlande-clearview-bussgeld-2024,case:nl:ap-clearview,authority:nl:ap,subject:clearview,NL,EU,fine_and_penalty_orders,final,2024-05-16,,2024-09-03,,GDPR,30500000,EUR,https://www.autoriteitpersoonsgegevens.nl/en/system/files?file=2024-09%2FDecision+fines+and+orders+subject+to+a+penalty+Clearview.pdf
action:fr:cnil:2022-clearview,frankreich-clearview-bussgeld-2022,case:fr:cnil-clearview,authority:fr:cnil,subject:clearview,FR,EU,fine_and_corrective_order,final,2022-10-17,,2022-10-20,,GDPR,20000000,EUR,https://www.cnil.fr/sites/cnil/files/atoms/files/deliberation_of_the_restricted_committee_no_san-2022-019_of_17_october_2022_concerning_clearview_ai.pdf
